,origin_county,origin_FIPS,adjacent_county,adjacent_FIPS
0,"""Adair County, KY""",21001,"""Casey County, KY""",21045
1,"""Adair County, KY""",21001,"""Cumberland County, KY""",21057
2,"""Adair County, KY""",21001,"""Green County, KY""",21087
3,"""Adair County, KY""",21001,"""Metcalfe County, KY""",21169
4,"""Adair County, KY""",21001,"""Russell County, KY""",21207
5,"""Adair County, KY""",21001,"""Taylor County, KY""",21217
6,"""Allen County, KY""",21003,"""Barren County, KY""",21009
7,"""Allen County, KY""",21003,"""Monroe County, KY""",21171
8,"""Allen County, KY""",21003,"""Simpson County, KY""",21213
9,"""Allen County, KY""",21003,"""Warren County, KY""",21227
10,"""Allen County, KY""",21003,"""Macon County, TN""",47111
11,"""Allen County, KY""",21003,"""Sumner County, TN""",47165
12,"""Anderson County, KY""",21005,"""Franklin County, KY""",21073
13,"""Anderson County, KY""",21005,"""Mercer County, KY""",21167
14,"""Anderson County, KY""",21005,"""Nelson County, KY""",21179
15,"""Anderson County, KY""",21005,"""Shelby County, KY""",21211
16,"""Anderson County, KY""",21005,"""Spencer County, KY""",21215
17,"""Anderson County, KY""",21005,"""Washington County, KY""",21229
18,"""Anderson County, KY""",21005,"""Woodford County, KY""",21239
19,"""Ballard County, KY""",21007,"""Alexander County, IL""",17003
20,"""Ballard County, KY""",21007,"""Pulaski County, IL""",17153
21,"""Ballard County, KY""",21007,"""Carlisle County, KY""",21039
22,"""Ballard County, KY""",21007,"""McCracken County, KY""",21145
23,"""Ballard County, KY""",21007,"""Mississippi County, MO""",29133
24,"""Barren County, KY""",21009,"""Allen County, KY""",21003
25,"""Barren County, KY""",21009,"""Edmonson County, KY""",21061
26,"""Barren County, KY""",21009,"""Hart County, KY""",21099
27,"""Barren County, KY""",21009,"""Metcalfe County, KY""",21169
28,"""Barren County, KY""",21009,"""Monroe County, KY""",21171
29,"""Barren County, KY""",21009,"""Warren County, KY""",21227
30,"""Bath County, KY""",21011,"""Bourbon County, KY""",21017
31,"""Bath County, KY""",21011,"""Fleming County, KY""",21069
32,"""Bath County, KY""",21011,"""Menifee County, KY""",21165
33,"""Bath County, KY""",21011,"""Montgomery County, KY""",21173
34,"""Bath County, KY""",21011,"""Nicholas County, KY""",21181
35,"""Bath County, KY""",21011,"""Rowan County, KY""",21205
36,"""Bell County, KY""",21013,"""Clay County, KY""",21051
37,"""Bell County, KY""",21013,"""Harlan County, KY""",21095
38,"""Bell County, KY""",21013,"""Knox County, KY""",21121
39,"""Bell County, KY""",21013,"""Leslie County, KY""",21131
40,"""Bell County, KY""",21013,"""Whitley County, KY""",21235
41,"""Bell County, KY""",21013,"""Claiborne County, TN""",47025
42,"""Bell County, KY""",21013,"""Lee County, VA""",51105
43,"""Boone County, KY""",21015,"""Dearborn County, IN""",18029
44,"""Boone County, KY""",21015,"""Ohio County, IN""",18115
45,"""Boone County, KY""",21015,"""Switzerland County, IN""",18155
46,"""Boone County, KY""",21015,"""Gallatin County, KY""",21077
47,"""Boone County, KY""",21015,"""Grant County, KY""",21081
48,"""Boone County, KY""",21015,"""Kenton County, KY""",21117
49,"""Boone County, KY""",21015,"""Hamilton County, OH""",39061
50,"""Bourbon County, KY""",21017,"""Bath County, KY""",21011
51,"""Bourbon County, KY""",21017,"""Clark County, KY""",21049
52,"""Bourbon County, KY""",21017,"""Fayette County, KY""",21067
53,"""Bourbon County, KY""",21017,"""Harrison County, KY""",21097
54,"""Bourbon County, KY""",21017,"""Montgomery County, KY""",21173
55,"""Bourbon County, KY""",21017,"""Nicholas County, KY""",21181
56,"""Bourbon County, KY""",21017,"""Scott County, KY""",21209
57,"""Boyd County, KY""",21019,"""Carter County, KY""",21043
58,"""Boyd County, KY""",21019,"""Greenup County, KY""",21089
59,"""Boyd County, KY""",21019,"""Lawrence County, KY""",21127
60,"""Boyd County, KY""",21019,"""Lawrence County, OH""",39087
61,"""Boyd County, KY""",21019,"""Wayne County, WV""",54099
62,"""Boyle County, KY""",21021,"""Casey County, KY""",21045
63,"""Boyle County, KY""",21021,"""Garrard County, KY""",21079
64,"""Boyle County, KY""",21021,"""Lincoln County, KY""",21137
65,"""Boyle County, KY""",21021,"""Marion County, KY""",21155
66,"""Boyle County, KY""",21021,"""Mercer County, KY""",21167
67,"""Boyle County, KY""",21021,"""Washington County, KY""",21229
68,"""Bracken County, KY""",21023,"""Harrison County, KY""",21097
69,"""Bracken County, KY""",21023,"""Mason County, KY""",21161
70,"""Bracken County, KY""",21023,"""Pendleton County, KY""",21191
71,"""Bracken County, KY""",21023,"""Robertson County, KY""",21201
72,"""Bracken County, KY""",21023,"""Brown County, OH""",39015
73,"""Bracken County, KY""",21023,"""Clermont County, OH""",39025
74,"""Breathitt County, KY""",21025,"""Knott County, KY""",21119
75,"""Breathitt County, KY""",21025,"""Lee County, KY""",21129
76,"""Breathitt County, KY""",21025,"""Magoffin County, KY""",21153
77,"""Breathitt County, KY""",21025,"""Owsley County, KY""",21189
78,"""Breathitt County, KY""",21025,"""Perry County, KY""",21193
79,"""Breathitt County, KY""",21025,"""Wolfe County, KY""",21237
80,"""Breckinridge County, KY""",21027,"""Perry County, IN""",18123
81,"""Breckinridge County, KY""",21027,"""Grayson County, KY""",21085
82,"""Breckinridge County, KY""",21027,"""Hancock County, KY""",21091
83,"""Breckinridge County, KY""",21027,"""Hardin County, KY""",21093
84,"""Breckinridge County, KY""",21027,"""Meade County, KY""",21163
85,"""Breckinridge County, KY""",21027,"""Ohio County, KY""",21183
86,"""Bullitt County, KY""",21029,"""Hardin County, KY""",21093
87,"""Bullitt County, KY""",21029,"""Jefferson County, KY""",21111
88,"""Bullitt County, KY""",21029,"""Nelson County, KY""",21179
89,"""Bullitt County, KY""",21029,"""Spencer County, KY""",21215
90,"""Butler County, KY""",21031,"""Edmonson County, KY""",21061
91,"""Butler County, KY""",21031,"""Grayson County, KY""",21085
92,"""Butler County, KY""",21031,"""Logan County, KY""",21141
93,"""Butler County, KY""",21031,"""Muhlenberg County, KY""",21177
94,"""Butler County, KY""",21031,"""Ohio County, KY""",21183
95,"""Butler County, KY""",21031,"""Warren County, KY""",21227
96,"""Caldwell County, KY""",21033,"""Christian County, KY""",21047
97,"""Caldwell County, KY""",21033,"""Crittenden County, KY""",21055
98,"""Caldwell County, KY""",21033,"""Hopkins County, KY""",21107
99,"""Caldwell County, KY""",21033,"""Lyon County, KY""",21143
100,"""Caldwell County, KY""",21033,"""Trigg County, KY""",21221
101,"""Caldwell County, KY""",21033,"""Webster County, KY""",21233
102,"""Calloway County, KY""",21035,"""Graves County, KY""",21083
103,"""Calloway County, KY""",21035,"""Marshall County, KY""",21157
104,"""Calloway County, KY""",21035,"""Trigg County, KY""",21221
105,"""Calloway County, KY""",21035,"""Henry County, TN""",47079
106,"""Calloway County, KY""",21035,"""Stewart County, TN""",47161
107,"""Campbell County, KY""",21037,"""Kenton County, KY""",21117
108,"""Campbell County, KY""",21037,"""Pendleton County, KY""",21191
109,"""Campbell County, KY""",21037,"""Clermont County, OH""",39025
110,"""Campbell County, KY""",21037,"""Hamilton County, OH""",39061
111,"""Carlisle County, KY""",21039,"""Ballard County, KY""",21007
112,"""Carlisle County, KY""",21039,"""Graves County, KY""",21083
113,"""Carlisle County, KY""",21039,"""Hickman County, KY""",21105
114,"""Carlisle County, KY""",21039,"""McCracken County, KY""",21145
115,"""Carlisle County, KY""",21039,"""Mississippi County, MO""",29133
116,"""Carroll County, KY""",21041,"""Jefferson County, IN""",18077
117,"""Carroll County, KY""",21041,"""Switzerland County, IN""",18155
118,"""Carroll County, KY""",21041,"""Gallatin County, KY""",21077
119,"""Carroll County, KY""",21041,"""Henry County, KY""",21103
120,"""Carroll County, KY""",21041,"""Owen County, KY""",21187
121,"""Carroll County, KY""",21041,"""Trimble County, KY""",21223
122,"""Carter County, KY""",21043,"""Boyd County, KY""",21019
123,"""Carter County, KY""",21043,"""Elliott County, KY""",21063
124,"""Carter County, KY""",21043,"""Greenup County, KY""",21089
125,"""Carter County, KY""",21043,"""Lawrence County, KY""",21127
126,"""Carter County, KY""",21043,"""Lewis County, KY""",21135
127,"""Carter County, KY""",21043,"""Rowan County, KY""",21205
128,"""Casey County, KY""",21045,"""Adair County, KY""",21001
129,"""Casey County, KY""",21045,"""Boyle County, KY""",21021
130,"""Casey County, KY""",21045,"""Lincoln County, KY""",21137
131,"""Casey County, KY""",21045,"""Marion County, KY""",21155
132,"""Casey County, KY""",21045,"""Pulaski County, KY""",21199
133,"""Casey County, KY""",21045,"""Russell County, KY""",21207
134,"""Casey County, KY""",21045,"""Taylor County, KY""",21217
135,"""Christian County, KY""",21047,"""Caldwell County, KY""",21033
136,"""Christian County, KY""",21047,"""Hopkins County, KY""",21107
137,"""Christian County, KY""",21047,"""Muhlenberg County, KY""",21177
138,"""Christian County, KY""",21047,"""Todd County, KY""",21219
139,"""Christian County, KY""",21047,"""Trigg County, KY""",21221
140,"""Christian County, KY""",21047,"""Montgomery County, TN""",47125
141,"""Christian County, KY""",21047,"""Stewart County, TN""",47161
142,"""Clark County, KY""",21049,"""Bourbon County, KY""",21017
143,"""Clark County, KY""",21049,"""Estill County, KY""",21065
144,"""Clark County, KY""",21049,"""Fayette County, KY""",21067
145,"""Clark County, KY""",21049,"""Madison County, KY""",21151
146,"""Clark County, KY""",21049,"""Montgomery County, KY""",21173
147,"""Clark County, KY""",21049,"""Powell County, KY""",21197
148,"""Clay County, KY""",21051,"""Bell County, KY""",21013
149,"""Clay County, KY""",21051,"""Jackson County, KY""",21109
150,"""Clay County, KY""",21051,"""Knox County, KY""",21121
151,"""Clay County, KY""",21051,"""Laurel County, KY""",21125
152,"""Clay County, KY""",21051,"""Leslie County, KY""",21131
153,"""Clay County, KY""",21051,"""Owsley County, KY""",21189
154,"""Clay County, KY""",21051,"""Perry County, KY""",21193
155,"""Clinton County, KY""",21053,"""Cumberland County, KY""",21057
156,"""Clinton County, KY""",21053,"""Russell County, KY""",21207
157,"""Clinton County, KY""",21053,"""Wayne County, KY""",21231
158,"""Clinton County, KY""",21053,"""Clay County, TN""",47027
159,"""Clinton County, KY""",21053,"""Pickett County, TN""",47137
160,"""Crittenden County, KY""",21055,"""Hardin County, IL""",17069
161,"""Crittenden County, KY""",21055,"""Caldwell County, KY""",21033
162,"""Crittenden County, KY""",21055,"""Livingston County, KY""",21139
163,"""Crittenden County, KY""",21055,"""Lyon County, KY""",21143
164,"""Crittenden County, KY""",21055,"""Union County, KY""",21225
165,"""Crittenden County, KY""",21055,"""Webster County, KY""",21233
166,"""Cumberland County, KY""",21057,"""Adair County, KY""",21001
167,"""Cumberland County, KY""",21057,"""Clinton County, KY""",21053
168,"""Cumberland County, KY""",21057,"""Metcalfe County, KY""",21169
169,"""Cumberland County, KY""",21057,"""Monroe County, KY""",21171
170,"""Cumberland County, KY""",21057,"""Russell County, KY""",21207
171,"""Cumberland County, KY""",21057,"""Clay County, TN""",47027
172,"""Daviess County, KY""",21059,"""Spencer County, IN""",18147
173,"""Daviess County, KY""",21059,"""Warrick County, IN""",18173
174,"""Daviess County, KY""",21059,"""Hancock County, KY""",21091
175,"""Daviess County, KY""",21059,"""Henderson County, KY""",21101
176,"""Daviess County, KY""",21059,"""McLean County, KY""",21149
177,"""Daviess County, KY""",21059,"""Ohio County, KY""",21183
178,"""Edmonson County, KY""",21061,"""Barren County, KY""",21009
179,"""Edmonson County, KY""",21061,"""Butler County, KY""",21031
180,"""Edmonson County, KY""",21061,"""Grayson County, KY""",21085
181,"""Edmonson County, KY""",21061,"""Hart County, KY""",21099
182,"""Edmonson County, KY""",21061,"""Warren County, KY""",21227
183,"""Elliott County, KY""",21063,"""Carter County, KY""",21043
184,"""Elliott County, KY""",21063,"""Lawrence County, KY""",21127
185,"""Elliott County, KY""",21063,"""Morgan County, KY""",21175
186,"""Elliott County, KY""",21063,"""Rowan County, KY""",21205
187,"""Estill County, KY""",21065,"""Clark County, KY""",21049
188,"""Estill County, KY""",21065,"""Jackson County, KY""",21109
189,"""Estill County, KY""",21065,"""Lee County, KY""",21129
190,"""Estill County, KY""",21065,"""Madison County, KY""",21151
191,"""Estill County, KY""",21065,"""Powell County, KY""",21197
192,"""Fayette County, KY""",21067,"""Bourbon County, KY""",21017
193,"""Fayette County, KY""",21067,"""Clark County, KY""",21049
194,"""Fayette County, KY""",21067,"""Jessamine County, KY""",21113
195,"""Fayette County, KY""",21067,"""Madison County, KY""",21151
196,"""Fayette County, KY""",21067,"""Scott County, KY""",21209
197,"""Fayette County, KY""",21067,"""Woodford County, KY""",21239
198,"""Fleming County, KY""",21069,"""Bath County, KY""",21011
199,"""Fleming County, KY""",21069,"""Lewis County, KY""",21135
200,"""Fleming County, KY""",21069,"""Mason County, KY""",21161
201,"""Fleming County, KY""",21069,"""Nicholas County, KY""",21181
202,"""Fleming County, KY""",21069,"""Robertson County, KY""",21201
203,"""Fleming County, KY""",21069,"""Rowan County, KY""",21205
204,"""Floyd County, KY""",21071,"""Johnson County, KY""",21115
205,"""Floyd County, KY""",21071,"""Knott County, KY""",21119
206,"""Floyd County, KY""",21071,"""Magoffin County, KY""",21153
207,"""Floyd County, KY""",21071,"""Martin County, KY""",21159
208,"""Floyd County, KY""",21071,"""Pike County, KY""",21195
209,"""Franklin County, KY""",21073,"""Anderson County, KY""",21005
210,"""Franklin County, KY""",21073,"""Henry County, KY""",21103
211,"""Franklin County, KY""",21073,"""Owen County, KY""",21187
212,"""Franklin County, KY""",21073,"""Scott County, KY""",21209
213,"""Franklin County, KY""",21073,"""Shelby County, KY""",21211
214,"""Franklin County, KY""",21073,"""Woodford County, KY""",21239
215,"""Fulton County, KY""",21075,"""Hickman County, KY""",21105
216,"""Fulton County, KY""",21075,"""Mississippi County, MO""",29133
217,"""Fulton County, KY""",21075,"""New Madrid County, MO""",29143
218,"""Fulton County, KY""",21075,"""Lake County, TN""",47095
219,"""Fulton County, KY""",21075,"""Obion County, TN""",47131
220,"""Gallatin County, KY""",21077,"""Switzerland County, IN""",18155
221,"""Gallatin County, KY""",21077,"""Boone County, KY""",21015
222,"""Gallatin County, KY""",21077,"""Carroll County, KY""",21041
223,"""Gallatin County, KY""",21077,"""Grant County, KY""",21081
224,"""Gallatin County, KY""",21077,"""Owen County, KY""",21187
225,"""Garrard County, KY""",21079,"""Boyle County, KY""",21021
226,"""Garrard County, KY""",21079,"""Jessamine County, KY""",21113
227,"""Garrard County, KY""",21079,"""Lincoln County, KY""",21137
228,"""Garrard County, KY""",21079,"""Madison County, KY""",21151
229,"""Garrard County, KY""",21079,"""Mercer County, KY""",21167
230,"""Garrard County, KY""",21079,"""Rockcastle County, KY""",21203
231,"""Grant County, KY""",21081,"""Boone County, KY""",21015
232,"""Grant County, KY""",21081,"""Gallatin County, KY""",21077
233,"""Grant County, KY""",21081,"""Harrison County, KY""",21097
234,"""Grant County, KY""",21081,"""Kenton County, KY""",21117
235,"""Grant County, KY""",21081,"""Owen County, KY""",21187
236,"""Grant County, KY""",21081,"""Pendleton County, KY""",21191
237,"""Grant County, KY""",21081,"""Scott County, KY""",21209
238,"""Graves County, KY""",21083,"""Calloway County, KY""",21035
239,"""Graves County, KY""",21083,"""Carlisle County, KY""",21039
240,"""Graves County, KY""",21083,"""Hickman County, KY""",21105
241,"""Graves County, KY""",21083,"""McCracken County, KY""",21145
242,"""Graves County, KY""",21083,"""Marshall County, KY""",21157
243,"""Graves County, KY""",21083,"""Henry County, TN""",47079
244,"""Graves County, KY""",21083,"""Weakley County, TN""",47183
245,"""Grayson County, KY""",21085,"""Breckinridge County, KY""",21027
246,"""Grayson County, KY""",21085,"""Butler County, KY""",21031
247,"""Grayson County, KY""",21085,"""Edmonson County, KY""",21061
248,"""Grayson County, KY""",21085,"""Hardin County, KY""",21093
249,"""Grayson County, KY""",21085,"""Hart County, KY""",21099
250,"""Grayson County, KY""",21085,"""Ohio County, KY""",21183
251,"""Green County, KY""",21087,"""Adair County, KY""",21001
252,"""Green County, KY""",21087,"""Hart County, KY""",21099
253,"""Green County, KY""",21087,"""Larue County, KY""",21123
254,"""Green County, KY""",21087,"""Metcalfe County, KY""",21169
255,"""Green County, KY""",21087,"""Taylor County, KY""",21217
256,"""Greenup County, KY""",21089,"""Boyd County, KY""",21019
257,"""Greenup County, KY""",21089,"""Carter County, KY""",21043
258,"""Greenup County, KY""",21089,"""Lewis County, KY""",21135
259,"""Greenup County, KY""",21089,"""Lawrence County, OH""",39087
260,"""Greenup County, KY""",21089,"""Scioto County, OH""",39145
261,"""Hancock County, KY""",21091,"""Perry County, IN""",18123
262,"""Hancock County, KY""",21091,"""Spencer County, IN""",18147
263,"""Hancock County, KY""",21091,"""Breckinridge County, KY""",21027
264,"""Hancock County, KY""",21091,"""Daviess County, KY""",21059
265,"""Hancock County, KY""",21091,"""Ohio County, KY""",21183
266,"""Hardin County, KY""",21093,"""Harrison County, IN""",18061
267,"""Hardin County, KY""",21093,"""Breckinridge County, KY""",21027
268,"""Hardin County, KY""",21093,"""Bullitt County, KY""",21029
269,"""Hardin County, KY""",21093,"""Grayson County, KY""",21085
270,"""Hardin County, KY""",21093,"""Hart County, KY""",21099
271,"""Hardin County, KY""",21093,"""Jefferson County, KY""",21111
272,"""Hardin County, KY""",21093,"""Larue County, KY""",21123
273,"""Hardin County, KY""",21093,"""Meade County, KY""",21163
274,"""Hardin County, KY""",21093,"""Nelson County, KY""",21179
275,"""Harlan County, KY""",21095,"""Bell County, KY""",21013
276,"""Harlan County, KY""",21095,"""Leslie County, KY""",21131
277,"""Harlan County, KY""",21095,"""Letcher County, KY""",21133
278,"""Harlan County, KY""",21095,"""Perry County, KY""",21193
279,"""Harlan County, KY""",21095,"""Lee County, VA""",51105
280,"""Harlan County, KY""",21095,"""Wise County, VA""",51195
281,"""Harrison County, KY""",21097,"""Bourbon County, KY""",21017
282,"""Harrison County, KY""",21097,"""Bracken County, KY""",21023
283,"""Harrison County, KY""",21097,"""Grant County, KY""",21081
