State,Substate Region,Small Area Estimate,95% CI (Lower),95% CI (Upper),Map Group
Total United States,Total United States,1.90%,1.81%,1.99%,1
Northeast,Northeast,2.07%,1.91%,2.25%,2
Midwest,Midwest,1.82%,1.70%,1.95%,2
South,South,1.81%,1.69%,1.94%,2
West,West,1.98%,1.82%,2.16%,2
Alabama,Alabama,1.77%,1.40%,2.24%,3
Alabama,Region 1,1.63%,1.18%,2.25%,4
Alabama,Region 2,1.86%,1.36%,2.54%,4
Alabama,Region 3,1.84%,1.32%,2.54%,4
Alabama,Region 4,1.78%,1.27%,2.49%,4
Alaska,Alaska,2.00%,1.62%,2.46%,3
Alaska,Anchorage,2.02%,1.54%,2.64%,4
Alaska,Northern,2.20%,1.59%,3.02%,4
Alaska,South Central,1.90%,1.40%,2.57%,4
Alaska,Southeast,1.76%,1.27%,2.43%,4
Arizona,Arizona,1.81%,1.46%,2.25%,3
Arizona,Maricopa,1.84%,1.41%,2.39%,4
Arizona,Pima,1.90%,1.35%,2.67%,4
Arizona,Rural North,1.69%,1.21%,2.36%,4
Arizona,Rural South,1.69%,1.22%,2.34%,4
Arkansas,Arkansas,1.82%,1.47%,2.25%,3
Arkansas,Catchment Area 1,1.62%,1.17%,2.23%,4
Arkansas,Catchment Area 2,1.49%,1.05%,2.11%,4
Arkansas,Catchment Area 3,1.89%,1.35%,2.64%,4
Arkansas,Catchment Area 4,1.54%,1.11%,2.14%,4
Arkansas,Catchment Area 5,1.97%,1.41%,2.73%,4
Arkansas,Catchment Area 6,2.25%,1.59%,3.18%,4
Arkansas,Catchment Area 7,1.89%,1.33%,2.67%,4
Arkansas,Catchment Area 8,1.97%,1.41%,2.76%,4
California,California,2.04%,1.80%,2.32%,3
California,Region 1R,2.21%,1.62%,2.99%,4
California,Region 2R,2.07%,1.56%,2.75%,4
California,Region 3R (Sacramento),2.44%,1.82%,3.27%,4
California,Region 4R,2.28%,1.67%,3.10%,4
California,Region 5R (San Francisco),2.26%,1.60%,3.18%,4
California,Region 6 (Santa Clara),1.73%,1.30%,2.31%,4
California,Region 7R (Contra Costa),1.87%,1.41%,2.47%,4
California,Region 8R (Alameda),2.11%,1.57%,2.84%,4
California,Region 9R (San Mateo),1.69%,1.23%,2.32%,4
California,Region 10,2.25%,1.67%,3.01%,4
California,Region 11 (Los Angeles),2.02%,1.72%,2.37%,5
California,LA SPA 1 and 5,2.29%,1.67%,3.15%,4
California,LA SPA 2,2.02%,1.53%,2.66%,4
California,LA SPA 3,1.75%,1.31%,2.33%,4
California,LA SPA 4,2.21%,1.60%,3.05%,4
California,LA SPA 6,2.27%,1.70%,3.03%,4
California,LA SPA 7,1.70%,1.28%,2.26%,4
California,LA SPA 8,2.10%,1.59%,2.77%,4
California,Region 12R,1.97%,1.45%,2.68%,4
California,Regions 13 and 19R,1.80%,1.36%,2.37%,4
California,Region 14 (Orange),2.02%,1.56%,2.63%,4
California,Region 15R (Fresno),2.11%,1.58%,2.82%,4
California,Region 16R (San Diego),2.08%,1.59%,2.73%,4
California,Region 17R,2.15%,1.62%,2.86%,4
California,Region 18R (San Bernardino),2.05%,1.56%,2.69%,4
California,Region 20R,2.05%,1.52%,2.75%,4
California,Region 21R,2.03%,1.49%,2.76%,4
Colorado,Colorado,2.08%,1.68%,2.58%,3
Colorado,Region 1,2.38%,1.73%,3.26%,4
Colorado,Regions 2 and 7,2.06%,1.57%,2.69%,4
