,State,Quarter,product_name,DOSAGEFORMNAME,LABELERNAME,ROUTENAME,DEASCHEDULE,med_amt_reimb_sum,nonmed_amt_reimb_sum,num_rx_sum,total_amt_reimb_sum,units_reimb_sum
0,AK,1,BUTRANS,"PATCH, EXTENDED RELEASE",Purdue Pharma LP,TRANSDERMAL,CIII,0.0,0.0,0.0,0.0,0.0
1,AK,1,DILAUDID,"INJECTION, SOLUTION",Purdue Pharma LP,INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,CII,0.0,0.0,0.0,0.0,0.0
2,AK,1,DILAUDID,TABLET,Purdue Pharma LP,ORAL,CII,0.0,0.0,0.0,0.0,0.0
3,AK,1,EXALGO,"TABLET, EXTENDED RELEASE","Mallinckrodt, Inc",ORAL,CII,0.0,0.0,0.0,0.0,0.0
4,AK,1,FENTANYL,PATCH,Par Pharmaceutical Inc.,TRANSDERMAL,CII,3684.67,226.16,49.0,3910.83,559.0
5,AK,1,FENTANYL,"PATCH, EXTENDED RELEASE",Apotex Corp.,TRANSDERMAL,CII,4883.88,11.64,71.0,4895.52,634.0
6,AK,1,LORTAB,SYRUP,"Akorn, Inc.",ORAL,CII,1223.56,0.3,15.0,1223.86,2883.0
7,AK,1,MS CONTIN,"TABLET, FILM COATED, EXTENDED RELEASE",Purdue Pharma LP,ORAL,CII,0.0,0.0,0.0,0.0,0.0
8,AK,1,NORCO,TABLET,"Actavis Pharma, Inc.",ORAL,CII,0.0,0.0,0.0,0.0,0.0
9,AK,1,NUCYNTA ER,"TABLET, FILM COATED, EXTENDED RELEASE","Janssen Pharmaceuticals, Inc.",ORAL,CII,0.0,0.0,0.0,0.0,0.0
10,AK,1,OPANA ER,"TABLET, EXTENDED RELEASE","Endo Pharmaceuticals, Inc.",ORAL,CII,0.0,0.0,0.0,0.0,0.0
11,AK,1,OXYCONTIN,"TABLET, FILM COATED, EXTENDED RELEASE",Purdue Pharma LP,ORAL,CII,245514.05,2249.0,482.0,247763.05,32615.0
12,AK,1,PERCOCET,TABLET,"Endo Pharmaceuticals, Inc.",ORAL,CII,0.0,0.0,0.0,0.0,0.0
13,AK,1,TUSSIONEX,"SUSPENSION, EXTENDED RELEASE",Unither Manufacturing LLC,ORAL,CII,0.0,0.0,0.0,0.0,0.0
14,AK,2,BUTRANS,"PATCH, EXTENDED RELEASE",Purdue Pharma LP,TRANSDERMAL,CIII,0.0,0.0,0.0,0.0,0.0
15,AK,2,DILAUDID,"INJECTION, SOLUTION",Purdue Pharma LP,INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,CII,0.0,0.0,0.0,0.0,0.0
16,AK,2,EMBEDA,"CAPSULE, EXTENDED RELEASE",Pfizer Laboratories Div Pfizer Inc,ORAL,CII,0.0,0.0,0.0,0.0,0.0
17,AK,2,EXALGO,"TABLET, EXTENDED RELEASE","Mallinckrodt, Inc",ORAL,CII,0.0,0.0,0.0,0.0,0.0
18,AK,2,FENTANYL,PATCH,Par Pharmaceutical Inc.,TRANSDERMAL,CII,0.0,0.0,0.0,0.0,0.0
19,AK,2,FENTANYL,"PATCH, EXTENDED RELEASE",Apotex Corp.,TRANSDERMAL,CII,3966.78,0.0,52.0,3966.78,537.0
