,Utilization Type,State,label_code,product_code,package_size,Year,Quarter,product_name,suppression,units_reimb,num_rx,total_amt_reimb,med_amt_reimb,nonmed_amt_reimb,qtr_begin,qtr_begin_date,Latitude,Longitude,Location,NDC,PRODUCTNDC,PRODUCTID,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,startdate,enddate
0,FFSU,MI,409,1256,1,2017,1,DEMEROL,True,,,,,,1/1,01/01/2017 12:00:00 AM,43.3504,-84.5603,"(43.3504, -84.5603)",409125601,409-1256,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
1,FFSU,MN,59011,460,10,2017,1,OXYCONTIN,False,961.0,19.0,14716.71,13455.14,1261.57,1/1,01/01/2017 12:00:00 AM,45.7326,-93.9196,"(45.7326, -93.9196)",59011046010,59011-460,59011-460_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,60,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
2,FFSU,AK,63481,817,60,2017,1,OPANA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,61.385,-152.2683,"(61.385, -152.2683)",63481081760,63481-817,63481-817_ee1e2e27-7455-429d-99d1-e5962ac1eb2c,HUMAN PRESCRIPTION DRUG,Opana,ER,oxymorphone hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20120320,20191101,NDA,NDA201655,"Endo Pharmaceuticals, Inc.",OXYMORPHONE HYDROCHLORIDE,30,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2012-03-20,2019-11-01
3,MCOU,LA,59011,751,4,2017,1,BUTRANS,True,,,,,,1/1,01/01/2017 12:00:00 AM,31.1801,-91.8749,"(31.1801, -91.8749)",59011075104,59011-751,59011-751_48dabfa7-0727-1779-6d41-cffa031eeb77,HUMAN PRESCRIPTION DRUG,Butrans,,buprenorphine,"PATCH, EXTENDED RELEASE",TRANSDERMAL,20110214,0,NDA,NDA021306,Purdue Pharma LP,BUPRENORPHINE,10,ug/h,"Partial Opioid Agonist [EPC],Partial Opioid Agonists [MoA]",CIII,2011-02-14,1970-01-01
4,FFSU,VT,50458,94,5,2017,1,DURAGESIC,True,,,,,,1/1,01/01/2017 12:00:00 AM,44.0407,-72.7093,"(44.0407, -72.7093)",50458009405,50458-94,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
5,MCOU,PA,59011,440,20,2017,1,OXYCONTIN,True,,,,,,1/1,01/01/2017 12:00:00 AM,40.5773,-77.264,"(40.5773, -77.264)",59011044020,59011-440,59011-440_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,40,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
6,FFSU,MO,63481,818,60,2017,1,OPANA ER,False,1160.0,19.0,21111.79,21111.79,0.0,1/1,01/01/2017 12:00:00 AM,38.4623,-92.302,"(38.4623, -92.302)",63481081860,63481-818,63481-818_ee1e2e27-7455-429d-99d1-e5962ac1eb2c,HUMAN PRESCRIPTION DRUG,Opana,ER,oxymorphone hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20120320,20190701,NDA,NDA201655,"Endo Pharmaceuticals, Inc.",OXYMORPHONE HYDROCHLORIDE,40,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2012-03-20,2019-07-01
7,FFSU,MA,50458,90,5,2017,1,DURAGESIC,True,,,,,,1/1,01/01/2017 12:00:00 AM,42.2373,-71.5314,"(42.2373, -71.5314)",50458009005,50458-90,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
8,MCOU,RI,50458,860,1,2017,1,NUCYNTA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,41.6772,-71.5101,"(41.6772, -71.5101)",50458086001,50458-860,50458-860_bdb7e201-5be5-44cf-8b9f-a9a885112b96,HUMAN PRESCRIPTION DRUG,Nucynta,ER,tapentadol hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110825,0,NDA,NDA200533,"Janssen Pharmaceuticals, Inc.",TAPENTADOL HYDROCHLORIDE,50,mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII,2011-08-25,1970-01-01
9,FFSU,MD,59011,415,10,2017,1,OXYCONTIN,False,1924.0,51.0,10056.56,9993.56,63.0,1/1,01/01/2017 12:00:00 AM,39.0724,-76.7902,"(39.0724, -76.7902)",59011041510,59011-415,59011-415_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,15,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
