,BH008,BH041,V30121,INCNUM
0,AL,2015,-8,818
1,AL,2015,-7,1
2,AL,2015,-6,3243
3,AL,2015,1,3
4,AL,2015,2,7
5,AL,2015,4,16
6,AL,2015,5,201
7,AL,2015,6,1
8,AL,2015,8,3
9,AL,2015,12,8
10,AL,2015,15,1
11,AL,2015,16,90
12,AR,2015,-8,36882
13,AR,2015,-7,473
14,AR,2015,-6,96190
15,AR,2015,1,375
16,AR,2015,2,291
17,AR,2015,3,16
18,AR,2015,4,89
19,AR,2015,5,6126
20,AR,2015,6,54
21,AR,2015,7,52
22,AR,2015,8,825
23,AR,2015,9,52
24,AR,2015,10,12
25,AR,2015,11,19
26,AR,2015,12,2716
27,AR,2015,13,193
28,AR,2015,14,47
29,AR,2015,15,323
30,AR,2015,16,696
31,AZ,2015,-8,2792
32,AZ,2015,-7,21
33,AZ,2015,-6,13892
34,AZ,2015,1,4
35,AZ,2015,2,33
36,AZ,2015,3,10
37,AZ,2015,4,144
38,AZ,2015,5,836
39,AZ,2015,7,1
40,AZ,2015,8,50
41,AZ,2015,11,4
42,AZ,2015,12,236
43,AZ,2015,13,4
44,AZ,2015,14,2
45,AZ,2015,15,11
46,AZ,2015,16,56
47,CO,2015,-8,41769
48,CO,2015,-7,990
49,CO,2015,-6,184585
50,CO,2015,1,567
51,CO,2015,2,1019
52,CO,2015,3,60
53,CO,2015,4,1643
54,CO,2015,5,5744
55,CO,2015,6,39
56,CO,2015,7,60
57,CO,2015,8,349
58,CO,2015,9,48
59,CO,2015,10,3
60,CO,2015,11,137
61,CO,2015,12,4382
62,CO,2015,13,39
63,CO,2015,14,15
64,CO,2015,15,46
65,CO,2015,16,465
66,CT,2015,-8,16974
67,CT,2015,-7,162
68,CT,2015,-6,55815
69,CT,2015,1,1281
70,CT,2015,2,494
71,CT,2015,3,20
72,CT,2015,4,1741
73,CT,2015,5,3968
74,CT,2015,6,2
75,CT,2015,7,16
76,CT,2015,8,421
77,CT,2015,9,11
78,CT,2015,10,86
79,CT,2015,11,91
80,CT,2015,12,60
81,CT,2015,13,17
82,CT,2015,14,13
83,CT,2015,15,39
84,CT,2015,16,300
85,DC,2015,-8,1000
86,DC,2015,-7,2
87,DC,2015,-6,1906
88,DC,2015,1,16
89,DC,2015,2,9
90,DC,2015,4,24
91,DC,2015,5,112
92,DC,2015,8,16
93,DC,2015,9,3
94,DC,2015,10,12
95,DC,2015,12,4
96,DC,2015,13,1
97,DC,2015,16,51
98,DE,2015,-8,13676
99,DE,2015,-7,239
100,DE,2015,-6,41379
101,DE,2015,1,554
102,DE,2015,2,260
103,DE,2015,3,5
104,DE,2015,4,1889
105,DE,2015,5,3071
106,DE,2015,6,6
107,DE,2015,7,26
108,DE,2015,8,166
109,DE,2015,9,1
110,DE,2015,10,9
111,DE,2015,11,15
112,DE,2015,12,38
113,DE,2015,13,9
114,DE,2015,15,30
115,DE,2015,16,59
116,IA,2015,-8,24581
117,IA,2015,-7,261
118,IA,2015,-6,84099
119,IA,2015,1,188
120,IA,2015,2,193
121,IA,2015,3,36
