,BH008,BH041,V30121,INCNUM
0,AL,2015,4,16
1,AL,2015,6,1
2,AL,2015,8,3
3,AL,2015,15,1
4,AR,2015,4,89
5,AR,2015,6,54
6,AR,2015,7,52
7,AR,2015,8,825
8,AR,2015,14,47
9,AR,2015,15,323
10,AZ,2015,4,144
11,AZ,2015,7,1
12,AZ,2015,8,50
13,AZ,2015,14,2
14,AZ,2015,15,11
15,CO,2015,4,1643
16,CO,2015,6,39
17,CO,2015,7,60
18,CO,2015,8,349
19,CO,2015,14,15
20,CO,2015,15,46
21,CT,2015,4,1741
22,CT,2015,6,2
23,CT,2015,7,16
24,CT,2015,8,421
25,CT,2015,14,13
26,CT,2015,15,39
27,DC,2015,4,24
28,DC,2015,8,16
29,DE,2015,4,1889
30,DE,2015,6,6
31,DE,2015,7,26
32,DE,2015,8,166
33,DE,2015,15,30
34,IA,2015,4,147
35,IA,2015,6,29
36,IA,2015,7,3
37,IA,2015,8,275
38,IA,2015,14,2
39,IA,2015,15,64
40,ID,2015,4,309
41,ID,2015,6,19
42,ID,2015,7,11
43,ID,2015,8,310
44,ID,2015,14,11
45,ID,2015,15,38
46,IL,2015,4,31
47,IL,2015,6,1
48,IL,2015,8,15
49,IN,2015,4,173
50,IN,2015,6,10
51,IN,2015,7,8
52,IN,2015,8,79
53,IN,2015,14,3
54,IN,2015,15,18
55,KS,2015,4,47
56,KS,2015,6,37
57,KS,2015,7,30
58,KS,2015,8,446
59,KS,2015,14,4
60,KS,2015,15,251
61,KY,2015,4,2981
62,KY,2015,6,73
63,KY,2015,7,109
64,KY,2015,8,3474
65,KY,2015,14,30
66,KY,2015,15,173
67,LA,2015,4,91
68,LA,2015,6,10
69,LA,2015,7,20
70,LA,2015,8,252
71,LA,2015,14,13
72,LA,2015,15,77
73,MA,2015,4,2593
74,MA,2015,6,28
75,MA,2015,7,82
76,MA,2015,8,1185
77,MA,2015,14,33
78,MA,2015,15,113
79,ME,2015,4,149
80,ME,2015,6,4
81,ME,2015,7,11
82,ME,2015,8,123
83,ME,2015,14,4
84,ME,2015,15,11
85,MI,2015,4,3673
86,MI,2015,6,149
87,MI,2015,7,113
88,MI,2015,8,1675
89,MI,2015,14,122
90,MI,2015,15,164
91,MO,2015,4,138
92,MO,2015,6,5
93,MO,2015,7,1
94,MO,2015,8,156
95,MO,2015,14,7
96,MO,2015,15,30
97,MS,2015,4,10
98,MS,2015,6,9
99,MS,2015,7,2
100,MS,2015,8,253
101,MS,2015,14,7
102,MS,2015,15,33
103,MT,2015,4,70
104,MT,2015,6,22
105,MT,2015,7,11
106,MT,2015,8,214
107,MT,2015,14,3
108,MT,2015,15,33
109,NB,2015,4,6
110,NB,2015,6,4
111,NB,2015,7,3
112,NB,2015,8,86
113,NB,2015,14,2
114,NB,2015,15,14
115,ND,2015,4,141
116,ND,2015,6,20
117,ND,2015,7,24
118,ND,2015,8,227
119,ND,2015,14,6
120,ND,2015,15,40
121,NH,2015,4,1480
122,NH,2015,6,11
123,NH,2015,7,20
124,NH,2015,8,489
125,NH,2015,14,4
126,NH,2015,15,49
127,OH,2015,4,5082
128,OH,2015,6,64
129,OH,2015,7,83
130,OH,2015,8,1913
131,OH,2015,14,37
132,OH,2015,15,43
133,OK,2015,4,35
134,OK,2015,6,31
135,OK,2015,7,24
136,OK,2015,8,148
137,OK,2015,14,23
138,OK,2015,15,65
139,OR,2015,4,1456
140,OR,2015,6,18
141,OR,2015,7,14
142,OR,2015,8,280
143,OR,2015,14,4
144,OR,2015,15,42
145,PA,2015,4,91
146,PA,2015,7,5
147,PA,2015,8,24
148,PA,2015,14,1
149,PA,2015,15,3
150,RI,2015,4,351
151,RI,2015,6,5
152,RI,2015,7,14
153,RI,2015,8,160
154,RI,2015,14,4
155,RI,2015,15,30
156,SC,2015,4,876
157,SC,2015,6,64
158,SC,2015,7,52
159,SC,2015,8,1113
160,SC,2015,14,62
161,SC,2015,15,302
162,SD,2015,4,10
163,SD,2015,6,12
164,SD,2015,7,12
165,SD,2015,8,103
166,SD,2015,14,7
167,SD,2015,15,39
168,TN,2015,4,1157
169,TN,2015,6,623
170,TN,2015,7,205
171,TN,2015,8,4849
172,TN,2015,14,188
173,TN,2015,15,1091
174,TX,2015,4,516
175,TX,2015,6,21
176,TX,2015,7,16
177,TX,2015,8,517
178,TX,2015,14,25
179,TX,2015,15,157
180,UT,2015,4,1970
181,UT,2015,6,8
182,UT,2015,7,34
183,UT,2015,8,243
184,UT,2015,14,11
185,UT,2015,15,46
186,VA,2015,4,3600
187,VA,2015,6,126
188,VA,2015,7,91
189,VA,2015,8,2392
190,VA,2015,14,50
191,VA,2015,15,159
192,WA,2015,4,2192
193,WA,2015,6,26
194,WA,2015,7,17
195,WA,2015,8,282
196,WA,2015,14,2
197,WA,2015,15,41
198,WI,2015,4,769
199,WI,2015,6,36
200,WI,2015,7,18
201,WI,2015,8,416
202,WI,2015,14,6
203,WI,2015,15,39
204,WV,2015,4,1184
205,WV,2015,6,24
206,WV,2015,7,46
207,WV,2015,8,1578
208,WV,2015,14,14
209,WV,2015,15,143
