"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Feb., 2014"	"2014/02"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Mar., 2014"	"2014/03"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Aug., 2014"	"2014/08"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jan., 2014"	"2014/01"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jan., 2014"	"2014/01"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	24	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jan., 2014"	"2014/01"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	11	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Feb., 2014"	"2014/02"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Feb., 2014"	"2014/02"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	32	Not Applicable	Not Applicable	0.1%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Mar., 2014"	"2014/03"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Mar., 2014"	"2014/03"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	28	Not Applicable	Not Applicable	0.1%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Apr., 2014"	"2014/04"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Apr., 2014"	"2014/04"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	20	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"May, 2014"	"2014/05"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"May, 2014"	"2014/05"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	26	Not Applicable	Not Applicable	0.1%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jun., 2014"	"2014/06"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jul., 2014"	"2014/07"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	12	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jul., 2014"	"2014/07"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jul., 2014"	"2014/07"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Aug., 2014"	"2014/08"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	26	Not Applicable	Not Applicable	0.1%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Sep., 2014"	"2014/09"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Sep., 2014"	"2014/09"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	24	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Oct., 2014"	"2014/10"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	11	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Oct., 2014"	"2014/10"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Oct., 2014"	"2014/10"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	24	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Nov., 2014"	"2014/11"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	10	Not Applicable	Not Applicable	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Nov., 2014"	"2014/11"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	Not Applicable	Not Applicable	0.0%
